"No.","Time","Source","Destination","Protocol","Length","Info"
"730","74.739209","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=109 Ack=20792 Win=1024 Len=0"
"731","75.194111","162.159.136.234","192.168.1.13","TLSv1.2","237","Application Data"
"732","75.239098","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=109 Ack=20975 Win=1023 Len=0"
"733","75.525326","95.100.242.177","192.168.1.13","TLSv1.2","85","Encrypted Alert"
"734","75.525665","95.100.242.177","192.168.1.13","TCP","60","443  >  55032 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0"
"735","75.525878","192.168.1.13","95.100.242.177","TCP","54","55032  >  443 [ACK] Seq=1 Ack=32 Win=1026 Len=0"
"736","75.526154","192.168.1.13","95.100.242.177","TCP","54","55032  >  443 [ACK] Seq=1 Ack=33 Win=1026 Len=0"
"737","75.562567","192.168.1.13","35.186.224.25","TCP","55","[TCP Keep-Alive] 64471  >  443 [ACK] Seq=1 Ack=1 Win=1023 Len=1"
"738","75.578422","35.186.224.25","192.168.1.13","TCP","66","[TCP Keep-Alive ACK] 443  >  64471 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"739","76.079286","192.168.1.15","224.0.0.251","MDNS","162","Standard query response 0x0000 PTR iPhone di Leonardo._rdlink._tcp.local TXT"
"740","76.079896","fe80::844:e9fe:ee33:8446","ff02::fb","MDNS","182","Standard query response 0x0000 PTR iPhone di Leonardo._rdlink._tcp.local TXT"
"741","76.438721","162.159.136.234","192.168.1.13","TLSv1.2","199","Application Data"
"742","76.481103","162.159.136.234","192.168.1.13","TLSv1.2","264","Application Data"
"743","76.481304","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=109 Ack=21330 Win=1028 Len=0"
"744","76.784196","192.168.1.12","224.0.0.251","MDNS","264","Standard query response 0x0000 PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa OPT"
"745","76.784319","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","284","Standard query response 0x0000 PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa OPT"
"746","76.889356","192.168.1.12","224.0.0.251","MDNS","171","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"747","76.889533","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","191","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"748","77.152471","162.159.136.234","192.168.1.13","TLSv1.2","136","Application Data"
"749","77.203512","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=109 Ack=21412 Win=1027 Len=0"
"750","77.316444","192.168.1.12","224.0.0.251","MDNS","280","Standard query 0x0000 ANY iPad di Leonardo (3)._rdlink._tcp.local, ""QU"" question ANY iPad di Leonardo (3)._companion-link._tcp.local, ""QU"" question ANY iPad-di-Leonardo-2.local, ""QU"" question SRV 0 0 49153 iPad-di-Leonardo-2.local SRV 0 0 51220 iPad-di-Leonardo-2.local A 192.168.1.12 AAAA fe80::18af:509e:62d9:28ab OPT"
"751","77.316483","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","300","Standard query 0x0000 ANY iPad di Leonardo (3)._rdlink._tcp.local, ""QU"" question ANY iPad di Leonardo (3)._companion-link._tcp.local, ""QU"" question ANY iPad-di-Leonardo-2.local, ""QU"" question SRV 0 0 49153 iPad-di-Leonardo-2.local SRV 0 0 51220 iPad-di-Leonardo-2.local A 192.168.1.12 AAAA fe80::18af:509e:62d9:28ab OPT"
"752","77.377863","192.168.1.12","224.0.0.251","MDNS","280","Standard query 0x0000 ANY iPad di Leonardo (3)._rdlink._tcp.local, ""QM"" question ANY iPad di Leonardo (3)._companion-link._tcp.local, ""QM"" question ANY iPad-di-Leonardo-2.local, ""QM"" question SRV 0 0 49153 iPad-di-Leonardo-2.local SRV 0 0 51220 iPad-di-Leonardo-2.local A 192.168.1.12 AAAA fe80::18af:509e:62d9:28ab OPT"
"753","77.378339","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","300","Standard query 0x0000 ANY iPad di Leonardo (3)._rdlink._tcp.local, ""QM"" question ANY iPad di Leonardo (3)._companion-link._tcp.local, ""QM"" question ANY iPad-di-Leonardo-2.local, ""QM"" question SRV 0 0 49153 iPad-di-Leonardo-2.local SRV 0 0 51220 iPad-di-Leonardo-2.local A 192.168.1.12 AAAA fe80::18af:509e:62d9:28ab OPT"
"754","77.832800","192.168.1.12","224.0.0.251","MDNS","280","Standard query 0x0000 ANY iPad di Leonardo (3)._rdlink._tcp.local, ""QM"" question ANY iPad di Leonardo (3)._companion-link._tcp.local, ""QM"" question ANY iPad-di-Leonardo-2.local, ""QM"" question SRV 0 0 49153 iPad-di-Leonardo-2.local SRV 0 0 51220 iPad-di-Leonardo-2.local A 192.168.1.12 AAAA fe80::18af:509e:62d9:28ab OPT"
"755","77.832907","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","300","Standard query 0x0000 ANY iPad di Leonardo (3)._rdlink._tcp.local, ""QM"" question ANY iPad di Leonardo (3)._companion-link._tcp.local, ""QM"" question ANY iPad-di-Leonardo-2.local, ""QM"" question SRV 0 0 49153 iPad-di-Leonardo-2.local SRV 0 0 51220 iPad-di-Leonardo-2.local A 192.168.1.12 AAAA fe80::18af:509e:62d9:28ab OPT"
"756","77.833024","192.168.1.12","224.0.0.251","MDNS","264","Standard query response 0x0000 PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa OPT"
